po_line_id,grir_qty,grir_value,first_exposure_date,days_open,time_bucket,snapshot_date
4584221231-13,4.0,9576.8,2025-11-19,11,<1 month,2025-11-30
4584577180-2,575.0,1098.25,2025-11-19,11,<1 month,2025-11-30
4584577180-3,600.0,660.0,2025-11-19,11,<1 month,2025-11-30
4791943218-1,12.0,243.12,2023-07-28,856,>1 year,2025-11-30
4792101674-1,1.0,4811.27,2023-10-09,783,>1 year,2025-11-30
4792107047-1,2.0,805.86,2023-10-03,789,>1 year,2025-11-30
4792107047-2,8.0,4411.92,2023-10-03,789,>1 year,2025-11-30
4792158319-1,6.0,6714.0,2023-10-09,783,>1 year,2025-11-30
4792523876-19,5.0,319.25,2024-06-04,544,>1 year,2025-11-30
4792627403-11,1.0,9.52,2024-04-01,608,>1 year,2025-11-30
4793339629-10,1.0,1628.0,2025-03-14,261,6-12 months,2025-11-30
4793463663-1,2.0,221.28,2024-12-12,353,6-12 months,2025-11-30
4793463663-2,2.0,200.98,2024-12-12,353,6-12 months,2025-11-30
4793472582-1,2.0,200.98,2024-12-12,353,6-12 months,2025-11-30
4793472582-2,2.0,200.98,2024-12-12,353,6-12 months,2025-11-30
4793472582-3,1.0,100.49,2024-12-12,353,6-12 months,2025-11-30
4793492799-1,2.0,200.98,2025-01-17,317,6-12 months,2025-11-30
4793492799-2,1.0,100.49,2025-01-17,317,6-12 months,2025-11-30
4793506588-1,2.0,200.98,2025-01-31,303,6-12 months,2025-11-30
4793517823-1,2.0,4477.0,2024-12-30,335,6-12 months,2025-11-30
4793517823-2,2.0,712.28,2025-01-14,320,6-12 months,2025-11-30
4793517823-3,2.0,20.4,2024-12-30,335,6-12 months,2025-11-30
4793517823-4,2.0,407.0,2024-12-30,335,6-12 months,2025-11-30
4793517823-5,20.0,244.2,2024-12-30,335,6-12 months,2025-11-30
4793518905-2,2.0,200.98,2025-01-17,317,6-12 months,2025-11-30
4793526620-6,2.0,16.18,2024-12-26,339,6-12 months,2025-11-30
4793526620-7,2.0,16.18,2024-12-26,339,6-12 months,2025-11-30
4793532188-1,1.0,107.59,2024-12-30,335,6-12 months,2025-11-30
4793546347-1,6.0,304.5,2024-12-30,335,6-12 months,2025-11-30
4793572134-1,3.0,258.84,2025-01-31,303,6-12 months,2025-11-30
4793597931-1,18.0,785.7,2025-03-28,247,6-12 months,2025-11-30
4793597931-2,16.0,1624.0,2025-03-28,247,6-12 months,2025-11-30
4793597932-1,200.0,56.0,2025-03-20,255,6-12 months,2025-11-30
4793652325-1,1.0,100.49,2025-02-11,292,6-12 months,2025-11-30
4793688608-1,1.0,100.49,2025-03-05,270,6-12 months,2025-11-30
4793688608-2,1.0,100.84,2025-03-05,270,6-12 months,2025-11-30
4793710854-1,2.0,200.98,2025-03-05,270,6-12 months,2025-11-30
4793776990-1,10.0,101.9,2025-03-24,251,6-12 months,2025-11-30
4793776990-2,10.0,122.1,2025-03-24,251,6-12 months,2025-11-30
4793794111-29,1.0,1560.3,2025-10-06,55,1-3 months,2025-11-30
4793794111-3,1.0,428.84,2025-10-27,34,1-3 months,2025-11-30
4793862640-1,1.0,95.81,2025-05-01,213,6-12 months,2025-11-30
4793875888-4,4.0,29.12,2025-08-20,102,3-6 months,2025-11-30
4793888024-1,1.0,38.07,2025-04-07,237,6-12 months,2025-11-30
4793898935-1,1.0,201.99,2025-04-16,228,6-12 months,2025-11-30
4793898935-2,1.0,201.99,2025-04-16,228,6-12 months,2025-11-30
4793898935-3,5.0,35.55,2025-04-16,228,6-12 months,2025-11-30
4793966958-1,4.0,57.72,2025-06-05,178,3-6 months,2025-11-30
4793991086-1,4.0,2759.52,2025-09-03,88,1-3 months,2025-11-30
4793991086-2,4.0,2889.76,2025-09-03,88,1-3 months,2025-11-30
4793991086-3,2.0,2177.48,2025-09-03,88,1-3 months,2025-11-30
4794020558-1,2.0,156.28,2025-05-14,200,6-12 months,2025-11-30
4794020558-2,2.0,206.26,2025-05-14,200,6-12 months,2025-11-30
4794020558-3,8.0,424.0,2025-05-14,200,6-12 months,2025-11-30
4794020558-4,2.0,360.46,2025-05-14,200,6-12 months,2025-11-30
4794020558-5,4.0,275.0,2025-05-14,200,6-12 months,2025-11-30
4800219860-1,2.0,200.98,2025-08-27,95,3-6 months,2025-11-30
4800223466-2,4.0,1182.24,2025-07-30,123,3-6 months,2025-11-30
4800273773-1,6.0,103.56,2025-10-01,60,1-3 months,2025-11-30
4800273773-2,20.0,101.6,2025-10-01,60,1-3 months,2025-11-30
4800273773-3,1.0,71.23,2025-10-01,60,1-3 months,2025-11-30
4800273773-4,1.0,30.45,2025-10-01,60,1-3 months,2025-11-30
4800273773-5,2.0,44.8,2025-10-01,60,1-3 months,2025-11-30
4800273773-6,1.0,32.48,2025-10-01,60,1-3 months,2025-11-30
4800273773-7,1.0,274.05,2025-10-01,60,1-3 months,2025-11-30
4800354300-1,4.0,150.6,2025-11-03,27,<1 month,2025-11-30
4800354300-2,2.0,814.0,2025-11-03,27,<1 month,2025-11-30
